file,metric,DertResNet50_pre_BB426,insightface_pre_BB426,YOLOv8x_pre_BB426,YOLOv8x_pre_BB426_SAHI,YOLOv8x_BB158_500_t16_b,YOLOv8x_BB426_760_t31_b,best_model_name
2022-08-28_12-00-15.jpg,mAP,0.090,0.000,0.127,0.220,0.580,0.449,YOLOv8x_BB158_500_t16_b
2022-08-28_16-00-14.jpg,accuracy,0.387,0.000,0.545,0.773,1.000,0.818,YOLOv8x_BB158_500_t16_b
2022-08-28_16-00-14.jpg,precision,0.522,0.000,0.857,0.895,1.000,0.900,YOLOv8x_BB158_500_t16_b
2022-08-28_16-00-14.jpg,recall,0.600,0.000,0.600,0.850,1.000,0.900,YOLOv8x_BB158_500_t16_b
2022-08-28_16-00-14.jpg,f1score,0.558,0.000,0.706,0.872,1.000,0.900,YOLOv8x_BB158_500_t16_b
2022-08-28_16-00-14.jpg,support,20.000,0.000,20.000,20.000,20.000,20.000,DertResNet50_pre_BB426
2022-08-28_16-00-14.jpg,mAP,0.134,0.000,0.301,0.493,0.877,0.527,YOLOv8x_BB158_500_t16_b
2022-08-28_16-20-15.jpg,accuracy,0.100,0.000,0.085,0.263,0.771,0.651,YOLOv8x_BB158_500_t16_b
2022-08-28_16-20-15.jpg,precision,0.864,0.000,0.941,0.943,0.917,0.861,YOLOv8x_pre_BB426_SAHI
2022-08-28_16-20-15.jpg,recall,0.102,0.000,0.086,0.267,0.829,0.727,YOLOv8x_BB158_500_t16_b
2022-08-28_16-20-15.jpg,f1score,0.182,0.000,0.157,0.417,0.871,0.788,YOLOv8x_BB158_500_t16_b
2022-08-28_16-20-15.jpg,support,187.000,0.000,187.000,187.000,187.000,187.000,DertResNet50_pre_BB426
2022-08-28_16-20-15.jpg,mAP,0.044,0.000,0.064,0.156,0.432,0.321,YOLOv8x_BB158_500_t16_b
2022-08-29_13-13-48.jpg,accuracy,0.220,0.000,0.364,0.727,0.867,0.804,YOLOv8x_BB158_500_t16_b
2022-08-29_13-13-48.jpg,precision,0.579,0.000,0.889,0.941,0.929,0.902,YOLOv8x_pre_BB426_SAHI
2022-08-29_13-13-48.jpg,recall,0.262,0.000,0.381,0.762,0.929,0.881,YOLOv8x_BB158_500_t16_b
2022-08-29_13-13-48.jpg,f1score,0.361,0.000,0.533,0.842,0.929,0.892,YOLOv8x_BB158_500_t16_b
2022-08-29_13-13-48.jpg,support,42.000,0.000,42.000,42.000,42.000,42.000,DertResNet50_pre_BB426
2022-08-29_13-13-48.jpg,mAP,0.076,0.000,0.159,0.436,0.757,0.590,YOLOv8x_BB158_500_t16_b
2022-08-29_15-21-08.jpg,accuracy,0.375,0.000,0.538,0.786,1.000,0.786,YOLOv8x_BB158_500_t16_b
2022-08-29_15-21-08.jpg,precision,0.450,0.000,1.000,0.917,1.000,0.917,YOLOv8x_pre_BB426
2022-08-29_15-21-08.jpg,recall,0.692,0.000,0.538,0.846,1.000,0.846,YOLOv8x_BB158_500_t16_b
2022-08-29_15-21-08.jpg,f1score,0.545,0.000,0.700,0.880,1.000,0.880,YOLOv8x_BB158_500_t16_b
2022-08-29_15-21-08.jpg,support,13.000,0.000,13.000,13.000,13.000,13.000,DertResNet50_pre_BB426
2022-08-29_15-21-08.jpg,mAP,0.058,0.000,0.189,0.393,0.785,0.529,YOLOv8x_BB158_500_t16_b
2022-08-29_17-06-47.jpg,accuracy,0.325,0.000,0.367,0.667,0.900,0.750,YOLOv8x_BB158_500_t16_b
2022-08-29_17-06-47.jpg,precision,0.520,0.000,0.846,0.909,0.931,0.857,YOLOv8x_BB158_500_t16_b
2022-08-29_17-06-47.jpg,recall,0.464,0.000,0.393,0.714,0.964,0.857,YOLOv8x_BB158_500_t16_b
2022-08-29_17-06-47.jpg,f1score,0.491,0.000,0.537,0.800,0.947,0.857,YOLOv8x_BB158_500_t16_b
2022-08-29_17-06-47.jpg,support,28.000,0.000,28.000,28.000,28.000,28.000,DertResNet50_pre_BB426
2022-08-29_17-06-47.jpg,mAP,0.154,0.000,0.203,0.411,0.782,0.590,YOLOv8x_BB158_500_t16_b
2022-08-29_17-23-48.jpg,accuracy,0.333,0.000,0.452,0.548,0.818,0.743,YOLOv8x_BB158_500_t16_b
2022-08-29_17-23-48.jpg,precision,0.519,0.000,0.875,0.895,0.871,0.812,YOLOv8x_pre_BB426_SAHI
2022-08-29_17-23-48.jpg,recall,0.483,0.000,0.483,0.586,0.931,0.897,YOLOv8x_BB158_500_t16_b
2022-08-29_17-23-48.jpg,f1score,0.500,0.000,0.622,0.708,0.900,0.852,YOLOv8x_BB158_500_t16_b
2022-08-29_17-23-48.jpg,support,29.000,0.000,29.000,29.000,29.000,29.000,DertResNet50_pre_BB426
2022-08-29_17-23-48.jpg,mAP,0.129,0.000,0.231,0.327,0.710,0.601,YOLOv8x_BB158_500_t16_b
2022-08-29_17-36-47.jpg,accuracy,0.343,0.000,0.500,0.783,0.955,0.875,YOLOv8x_BB158_500_t16_b
2022-08-29_17-36-47.jpg,precision,0.480,0.000,1.000,0.947,1.000,0.913,YOLOv8x_pre_BB426
2022-08-29_17-36-47.jpg,recall,0.545,0.000,0.500,0.818,0.955,0.955,YOLOv8x_BB158_500_t16_b
2022-08-29_17-36-47.jpg,f1score,0.511,0.000,0.667,0.878,0.977,0.933,YOLOv8x_BB158_500_t16_b
2022-08-29_17-36-47.jpg,support,22.000,0.000,22.000,22.000,22.000,22.000,DertResNet50_pre_BB426
2022-08-29_17-36-47.jpg,mAP,0.197,0.000,0.309,0.554,0.836,0.677,YOLOv8x_BB158_500_t16_b
2022-08-29_18-03-48.jpg,accuracy,0.308,0.000,0.367,0.700,0.784,0.760,YOLOv8x_BB158_500_t16_b
