file,DertResNet50,YOLOv8,insightface,SAHI_YOLOv8,YOLOv8x_BB158_500_t16_b
2022-10-01_14-04-53.jpg,0.364,0.571,0.000,0.750,0.429
2022-10-02_07-30-15.jpg,0.571,0.571,0.000,0.889,0.727
2022-10-02_09-40-16.jpg,0.000,0.444,0.000,0.923,0.400
2022-10-03_17-50-15.jpg,0.000,0.000,0.000,0.000,0.182
2022-10-05_07-50-16.jpg,0.444,0.222,0.000,0.545,0.727
2022-10-05_10-10-16.jpg,0.545,0.571,0.667,0.889,0.727
2022-10-05_15-50-16.jpg,0.588,0.588,0.533,0.556,0.750
2022-10-07_09-40-15.jpg,0.667,1.000,0.857,0.800,0.800
2022-10-07_18-04-13.jpg,0.636,0.750,0.750,0.857,0.800
2022-10-07_18-04-49.jpg,0.348,0.444,0.308,0.857,0.632
2022-10-07_18-24-13.jpg,1.000,1.000,1.000,0.857,0.857
2022-10-10_08-30-15.jpg,0.632,0.667,0.000,0.842,1.000
2022-10-14_15-40-16.jpg,0.400,0.600,0.667,0.667,0.615
2022-10-14_18-20-15.jpg,0.581,0.571,0.000,0.786,0.759
2022-10-21_10-00-16.jpg,0.353,0.667,0.000,0.800,0.889
2022-10-23_10-50-16.jpg,0.435,0.750,0.333,0.842,0.889
2022-10-24_17-30-16.jpg,0.500,0.615,0.400,0.889,0.800
2022-10-25_18-13-51.jpg,0.222,0.800,0.000,0.667,0.600
2022-10-25_18-33-52.jpg,0.800,0.800,0.800,0.800,0.857
